row_id,competitor_id,competitor_name,market_area,competitor_category,competitor_item_name,competitor_price,abnah_item_number,abnah_item_name,abnah_price,price_difference,price_index,price_position,expected_sales_impact,notes
CROW00001,COMP0001,Chaayos CP,Connaught Place,Baked Goods,Almond Croissant,230.0,MENU0095,Almond Croissant,245.0,15.0,1.065,Premium vs competitor,Potential pressure unless corporate convenience offsets premium,Synthetic competitor context; do not interpret as causation.
CROW00112,COMP0112,Artisan Dessert Cafe Saket,Saket,Desserts,Basque Cheesecake,310.0,MENU0109,Basque Cheesecake,310.0,0.0,1.0,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00113,COMP0113,Third Wave Saket,Saket,Desserts,Classic Chocolate Fudge Brownie,225.0,MENU0104,Classic Chocolate Fudge Brownie,195.0,-30.0,0.867,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00114,COMP0114,Starbucks Select Citywalk,Saket,Iced Tea,Hibiscus Lime Iced Tea Medium,270.0,MENU0062,Hibiscus Lime Iced Tea - Medium,250.0,-20.0,0.926,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00115,COMP0115,Artisan Dessert Cafe Saket,Saket,Iced Tea,Hibiscus Lime Iced Tea Regular,230.0,MENU0061,Hibiscus Lime Iced Tea - Regular,225.0,-5.0,0.978,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00116,COMP0116,Coffee Bean Saket,Saket,Iced Tea,Lemon Iced Tea Medium,245.0,MENU0059,Lemon Iced Tea - Medium,230.0,-15.0,0.939,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00117,COMP0117,Artisan Dessert Cafe Saket,Saket,Iced Tea,Lemon Iced Tea Regular,225.0,MENU0058,Lemon Iced Tea - Regular,205.0,-20.0,0.911,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00118,COMP0118,Coffee Bean Saket,Saket,Sandwiches,Pepper Chicken Sandwich,305.0,MENU0081,Pepper Chicken Sandwich,315.0,10.0,1.033,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00119,COMP0119,Artisan Dessert Cafe Saket,Saket,Sandwiches,Pesto Veg Sandwich,290.0,MENU0080,Pesto Veg Sandwich,280.0,-10.0,0.966,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00120,COMP0120,Third Wave Saket,Saket,Sandwiches,Smoked Chipotle Paneer Sandwich,315.0,MENU0079,Smoked Chipotle Paneer Sandwich,295.0,-20.0,0.937,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00121,COMP0121,Coffee Bean Saket,Saket,Sandwiches,Tandoori Chicken Sandwich,365.0,MENU0082,Tandoori Chicken Sandwich,320.0,-45.0,0.877,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00122,COMP0122,Coffee Bean Saket,Saket,Shake,Choco Chip Shake Medium,335.0,MENU0069,Choco Chip Shake - Medium,330.0,-5.0,0.985,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00123,COMP0123,Third Wave Saket,Saket,Shake,Choco Chip Shake Regular,335.0,MENU0068,Choco Chip Shake - Regular,295.0,-40.0,0.881,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00124,COMP0124,Third Wave Saket,Saket,Shake,Mixed Berry Shake Medium,350.0,MENU0072,Mixed Berry Shake - Medium,350.0,0.0,1.0,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
CROW00125,COMP0125,Starbucks Select Citywalk,Saket,Shake,Mixed Berry Shake Regular,355.0,MENU0071,Mixed Berry Shake - Regular,315.0,-40.0,0.887,Below competitor,Likely supportive context for sales performance,Synthetic competitor context; do not interpret as causation.
CROW00126,COMP0126,Starbucks Select Citywalk,Saket,Signature Coffee,Caramel Macchiato Medium,285.0,MENU0025,Caramel Macchiato - Medium,295.0,10.0,1.035,At parity,Neutral competitive context,Synthetic competitor context; do not interpret as causation.
