domain,filter_1,filter_2,filter_3,expected_measure,expected_value,expected_display,source_table,note
Menu item,ABNAH Cafe Connaught Place,Snacks,Pesto Sundried Tomato Pin Wheel,SUM(net_sale),3099.22,3.10K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Shake,Mixed Berry Shake - Large,SUM(net_sale),2969.46,2.97K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Classic Cold Brew - Large,SUM(net_sale),2943.18,2.94K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Baked Goods,Almond Croissant,SUM(net_sale),2890.49,2.89K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Tea,Himalayan Green Tea,SUM(net_sale),2870.1,2.87K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Desserts,Apple Pie,SUM(net_sale),2686.83,2.69K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Vietnamese Shakerato - Large,SUM(net_sale),2674.26,2.67K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Cold Brew,Classic Cold Brew - Regular,SUM(net_sale),2438.72,2.44K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Breakfast,Masala Egg Bun,SUM(net_sale),2411.85,2.41K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Smoothie,Seasonal Smoothie - Medium,SUM(net_sale),2335.51,2.34K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Menu item,ABNAH Cafe Connaught Place,Desserts,Soft-Centred Caramel Cookie,SUM(net_sale),2314.28,2.31K,FACT_Sales or date-safe menu query,SUM_Menu_Item_Performance is month-level. Use FACT_Sales for date-sensitive tests.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Butter,PO Closed,66485.26,PO 66.49K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Butter,PO Receipt row - no PO status,64699.67,PO 0; Receipt 64.70K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,NorthStar Poultry,Chicken,PO Closed,55161.25,PO 55.16K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,NorthStar Poultry,Chicken,PO Receipt row - no PO status,54727.98,PO 0; Receipt 54.73K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,NorthStar Poultry,Chicken,PO Receipt row - no PO status,47062.37,PO 0; Receipt 47.06K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FrozenBerry Traders,Mixed Berry Pulp,PO Closed,44588.34,PO 44.59K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FrozenBerry Traders,Mixed Berry Pulp,PO Receipt row - no PO status,44492.78,PO 0; Receipt 44.49K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,TeaLeaf Traders NCR,Matcha Powder,PO Closed,40925.97,PO 40.93K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,NorthStar Poultry,Chicken,PO Closed,37536.59,PO 37.54K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cheese,PO Receipt row - no PO status,36551.91,PO 0; Receipt 36.55K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,TeaLeaf Traders NCR,Matcha Powder,PO Receipt row - no PO status,36258.79,PO 0; Receipt 36.26K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,NorthStar Poultry,Chicken,PO Closed,34067.18,PO 34.07K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Butter,PO Closed,28453.93,PO 28.45K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,PO Closed,26959.46,PO 26.96K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Croissant Base,PO Closed,26777.1,PO 26.78K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,PO Receipt row - no PO status,26757.4,PO 0; Receipt 26.76K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Milk,PO Receipt row - no PO status,26664.33,PO 0; Receipt 26.66K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,ChocoCraft Ingredients,Brownie Base,PO Closed,26532.42,PO 26.53K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,ChocoCraft Ingredients,Brownie Base,PO Receipt row - no PO status,26228.33,PO 0; Receipt 26.23K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Cheesecake Base,PO Closed,26094.17,PO 26.09K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Cheesecake Base,PO Receipt row - no PO status,25949.06,PO 0; Receipt 25.95K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Croissant Base,PO Receipt row - no PO status,25775.56,PO 0; Receipt 25.78K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cheese,PO Partially Received,24472.56,PO 24.47K; Receipt 0; Open 2,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Milk,PO Partially Received,24337.78,PO 24.34K; Receipt 0; Open 3,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,BeanCraft Roasters Delhi,Coffee Beans,PO Closed,23944.49,PO 23.94K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,SweetBase Foods,Vanilla Syrup,PO Closed,23535.76,PO 23.54K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,SweetBase Foods,Caramel Syrup,PO Closed,23081.77,PO 23.08K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,SweetBase Foods,Caramel Syrup,PO Receipt row - no PO status,23004.43,PO 0; Receipt 23.00K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cheese,PO Closed,22609.3,PO 22.61K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Croissant Base,PO Closed,21947.42,PO 21.95K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Croissant Base,PO Receipt row - no PO status,21762.22,PO 0; Receipt 21.76K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Tortilla,PO Closed,21607.16,PO 21.61K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Tortilla,PO Receipt row - no PO status,21596.83,PO 0; Receipt 21.60K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Butter,PO Receipt row - no PO status,21316.73,PO 0; Receipt 21.32K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cheesecake Base,PO Receipt row - no PO status,20606.03,PO 0; Receipt 20.61K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,SpiceRoot Foods,Pesto Sauce,PO Receipt row - no PO status,20579.35,PO 0; Receipt 20.58K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cheesecake Base,PO Closed,20513.71,PO 20.51K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,NorthStar Poultry,Chicken,PO Partially Received,19238.29,PO 19.24K; Receipt 0; Open 1,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,PackPro Disposables,Cold Cup,PO Closed,18902.01,PO 18.90K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,ChocoCraft Ingredients,Chocolate Sauce,PO Receipt row - no PO status,18845.55,PO 0; Receipt 18.85K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cake Base,PO Receipt row - no PO status,18656.13,PO 0; Receipt 18.66K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,TeaLeaf Traders NCR,Matcha Powder,PO Closed,18594.0,PO 18.59K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,PO Pending,18555.44,PO 18.56K; Receipt 0; Open 1,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,SweetBase Foods,Vanilla Syrup,PO Closed,17650.66,PO 17.65K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,PackPro Disposables,Cold Cup,PO Receipt row - no PO status,17461.64,PO 0; Receipt 17.46K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cream,PO Receipt row - no PO status,17285.83,PO 0; Receipt 17.29K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,PackPro Disposables,Cold Cup,PO Closed,17246.17,PO 17.25K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cream,PO Closed,17226.79,PO 17.23K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,SpiceRoot Foods,Chipotle Sauce,PO Receipt row - no PO status,17087.9,PO 0; Receipt 17.09K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,PackPro Disposables,Hot Cup,PO Receipt row - no PO status,16986.98,PO 0; Receipt 16.99K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Bagel,PO Receipt row - no PO status,16954.4,PO 0; Receipt 16.95K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,SweetBase Foods,Hibiscus Concentrate,PO Closed,16931.47,PO 16.93K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,PackPro Disposables,Hot Cup,PO Closed,16902.43,PO 16.90K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Bagel,PO Receipt row - no PO status,16720.89,PO 0; Receipt 16.72K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Bagel,PO Closed,16638.19,PO 16.64K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,NorthStar Poultry,Chicken,PO Receipt row - no PO status,16433.44,PO 0; Receipt 16.43K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,TeaLeaf Traders NCR,Matcha Powder,PO Receipt row - no PO status,16370.72,PO 0; Receipt 16.37K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,PO Cancelled,16342.17,PO 16.34K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Butter,PO Receipt row - no PO status,16043.37,PO 0; Receipt 16.04K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Oat Milk,PO Receipt row - no PO status,15876.66,PO 0; Receipt 15.88K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cake Base,PO Closed,15817.49,PO 15.82K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,PackPro Disposables,Cold Cup,PO Receipt row - no PO status,15744.4,PO 0; Receipt 15.74K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,TeaLeaf Traders NCR,Tea Leaves,PO Receipt row - no PO status,15251.02,PO 0; Receipt 15.25K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,TeaLeaf Traders NCR,Tea Leaves,PO Closed,15250.87,PO 15.25K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,PO Partially Received,15219.31,PO 15.22K; Receipt 0; Open 1,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,SweetBase Foods,Hibiscus Concentrate,PO Receipt row - no PO status,15163.06,PO 0; Receipt 15.16K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Paneer,PO Receipt row - no PO status,14947.73,PO 0; Receipt 14.95K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,SweetBase Foods,Vanilla Syrup,PO Receipt row - no PO status,14823.17,PO 0; Receipt 14.82K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Cream,PO Receipt row - no PO status,14613.14,PO 0; Receipt 14.61K; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Butter,PO Closed,14348.02,PO 14.35K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Saket Premium,SpiceRoot Foods,Pesto Sauce,PO Closed,13880.97,PO 13.88K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Connaught Place,PackPro Disposables,Hot Cup,PO Closed,13738.09,PO 13.74K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
Procurement vendor/material/status,ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Bread,PO Closed,13426.56,PO 13.43K; Receipt 0; Open 0,FACT_Vendor_Spend,PO Status only exists on PO rows; receipt rows have no PO status.
